,label,text,label_none,label_soft,label_tech,label_code
18,none,Jobs & Projekte Kontakt Impressum Datenschutz,1,0,0,0
19,tech,Grundkenntnisse EDV,0,0,1,2
20,none,ASAP HOLDING GMBH Sachsstraße 1A 85080 Gaimersheim Tel. +49 8458 3389 0 Fax. +49 8458 3389 199 Mail. holding@asap.de,1,0,0,0
21,soft,Sehr gute Deutschkenntnisse und verhandlungssicheres Englisch in Wort und Schrift,0,1,0,1
22,soft,Englische Sprachkenntnisse sind von Vorteil,0,1,0,1
23,tech,Verständnis gängiger Softwareentwicklungsprozesse und –Architekturen.,0,0,1,2
24,tech,Sie sind in der objektorientierten Programmierung sicher und haben bereits mit Unit-Testing- Methoden gearbeitet.,0,0,1,2
25,soft,Starke Führungspersönlichkeit und ausgeprägtes Teamplayer-Verhalten,0,1,0,1
26,soft,Starke kommunikative Fähigkeiten zeichnen Sie aus. Sie sind sprachgewandt und begeistern idealerweise auch in einer Fremdsprache mit unterschiedlichen Themen.,0,1,0,1
27,soft,Bereitschaft zu internationalen Dienstreisen,0,1,0,1
28,none,"Wenn Sie gerne anpacken, eigeninitiativ arbeiten und verlässlich im Umgang miteinander sind, wenn Sie sich immer noch weiterentwickeln wollen, um Gutes noch besser zu machen, dann passen Sie gut zu uns.",1,0,0,0
29,none,© 2017 Akzent Personaldienstleistungen Ein Unternehmen der VISSIO Servicegroup GmbH,1,0,0,0
30,soft,Zuverlässige und strukturierte Arbeitsweise,0,1,0,1
31,soft,Fundierte methodische und konzeptionelle Fähigkeiten,0,1,0,1
32,soft,Präzise und selbstständige Arbeitsweise.,0,1,0,1
33,soft,Organisationsgeschick sowie Teamfähigkeit,0,1,0,1
34,none,Wir freuen uns auf Ihre vollständigen Bewerbungsunterlagen.,1,0,0,0
35,soft,Sehr gute Organisations- /Koordinationsfähigkeiten.,0,1,0,1
36,soft,"Überdurchschnittliches Kommunikations-, Verhandlungs- und Präsentationsgeschick",0,1,0,1
37,soft,Teamorientierte Arbeitsweise,0,1,0,1
38,soft,"Lösungsorientierte, eigenverantwortliche und strukturierte Arbeitsweise.",0,1,0,1
39,soft,Pkw-Führerschein,0,1,0,1
40,none,adesso - business. people. technology.,1,0,0,0
41,soft,Bereitschaft zu weltweiter Reisetätigkeit,0,1,0,1
42,none,"So viel Eigenständigkeit wie möglich, so viel Hilfe wie nötig.",1,0,0,0
43,soft,"""Multi-Tasking""-Fähigkeit, um auch in hektischen Momenten den Überblick zu behalten",0,1,0,1
44,soft,"selbstständge Arbeitsweise, teamfähig, flexibel, belastbar",0,1,0,1
45,soft,Sie sind zielstrebig sowie ergebnisorientiert und bewahren auch in schwierigen Situationen Ruhe.,0,1,0,1
46,tech,Technische Kompetenz um Strukturen neu zu definieren,0,0,1,2
47,none,1 unter den Serviceunternehmen für professionelles Parkraum-Management.,1,0,0,0
48,tech,Microsoft System Center Configuration Manager (SCCM),0,0,1,2
49,none,Vom studierten Ingenieur der Luft- und Raumfahrtechnik über den lizensierten Fluggerätmechaniker bis hin zum Gepäckabfertiger vermitteln wir Mitarbeiter an viele Unternehmen der Luftfahrtbranche.,1,0,0,0
50,soft,Gute englische Sprachkenntnisse runden Ihr Profil ab.,0,1,0,1
51,soft,"Aufgeschlossen, flexibel, unternehmerisch-denkend",0,1,0,1
52,none,Deutschland sagt Respekt Hintergründe Ihre Einreichungen Kampagne im Überblick,1,0,0,0
53,soft,ausgeprägten Kommunikations- und Moderationsfähigkeiten,0,1,0,1
54,tech,Sie sind sicher im Umgang mit ArcGis sowie MS-Office und können bereits Grundkenntnisse in der SQL-Programmierung vorweisen.,0,0,1,2
55,soft,"Analytisches Denkvermögen, eine selbstständige und ergebnisorientierte Arbeitsweise sowie eine ausgeprägte Teamfähigkeit runden Ihr Profil ab",0,1,0,1
56,soft,"Sie sind eine positive Persönlichkeit und zeichnen sich durch Eigenverantwortung, Organisationstalent, Flexibilität, eine genaue und selbstständige Arbeitsweise und Teamorientierung aus.",0,1,0,1
57,soft,Ihre offene und überzeugende Persönlichkeit sowie Ihr unternehmerisches Denken und Handeln schaffen Ihnen Akzeptanz bei Mandanten.,0,1,0,1
58,soft,"Belastbarkeit, Teamfähigkeit und Engagement.",0,1,0,1
59,tech,"Sicherer Umgang mit SW-Entwicklungswerkzeugen (Simulink, CMM-Tools, ...).",0,0,1,2
60,tech,"Fundierte Kenntnisse im Umgang mit FE-Berechnungstools erforderlich, vorzugsweise ANSYS.",0,0,1,2
61,soft,Schulung und Einweisung von Kundenpersonal in Deutsch und Englisch.,0,1,0,1
62,soft,Ausgeprägte Kommunikationsfähigkeit,0,1,0,1
63,soft,"Englischkenntnisse, Teamfähigkeit.",0,1,0,1
64,tech,Detaillierte Kenntnisse des Java Memory Models.,0,0,1,2
65,none,Kontakt Die Amadeus FiRe AG bringt als spezialisierter Personaldienstleister jeden Tag Fach- und Führungskräfte aus dem kaufmännischen und IT-Bereich mit nationalen und internationalen Unternehmen zusammen. Nutzen Sie unsere persönlichen Kontakte zu Arbeitgebern bundesweit! Wir empfehlen Sie an unsere Kunden weiter und erleichtern Ihnen damit den Einstieg ins Unternehmen! Für einen ersten vertraulichen Kontakt steht Ihnen Herr Andreas Klöckner (Tel +49 (0) 69 / 96 876 218) gerne zur Verfügung. Interessiert an der Stelle als Webentwickler (m/w)? Dann freuen wir uns auf Ihre aussagekräftigen Bewerbungsunterlagen (max. 5 MB) unter Angabe Ihrer Gehaltsvorstellung und des frühestmöglichen Eintrittstermins bevorzugt per Online-Bewerbungsformular oder per E-Mail an: it.frankfurt@amadeus-fire.de Amadeus FiRe AGZentrale Frankfurt Hanauer Landstraße 160 60314 Frankfurt,1,0,0,0
66,soft,Stark ausgeprägte analytische und strategische Fähigkeiten.,0,1,0,1
67,soft,PKW und Führerschein zwingend erforderlich,0,1,0,1
68,none,Zur Verstärkung unseres bestehenden Teams suchen wir Sie zum nächstmöglichen Zeitpunkt in Uelzen als.,1,0,0,0
69,soft,Belastbarkeit und Kommunikationsfähigkeit.,0,1,0,1
70,soft,Deutsch und Englisch in Wort und Schrift.,0,1,0,1
71,none,Die eos.uptrade GmbH ist ein etabliertes Softwareunternehmen mit Hauptsitz in Hamburg und einer Niederlassung in Dresden.,1,0,0,0
72,soft,Souveränes Handeln auch in hektischen Situationen und hands-on-Mentalität,0,1,0,1
73,tech,"sehr gute Kenntnisse der mobilen Plattform Android, der Programmiersprache JAVA und des Android SDKs",0,0,1,2
74,soft,Gute Kommunikations- und Teamfähigkeit,0,1,0,1
75,none,Autohaus Ostmann KG Ippinghäuser Str. 10 34466 Wolfhagen www.autohaus-ostmann.de,1,0,0,0
76,none,"Standort AGCO GmbH Johann-Georg-Fendt-Straße 4, 87616 Marktoberdorf, Deutschland",1,0,0,0
77,tech,Kenntnisse abschlussrelevanter Prozesse im Filialeinzelhandel wünschenswert.,0,0,1,2
78,tech,Sie verfügen über fundierte IT-Kenntnisse und idealerweise über bankfachliches Know-how. In Helpdesk-Tätigkeiten sind Sie erfahren.,0,0,1,2
79,soft,Zuverlässigkeit und Beharrlichkeit.,0,1,0,1
80,none,Leistungen für Bewerber Strategische Karriereplanung Mehr erfahren,1,0,0,0
81,none,"4Com ist ein Technikunternehmen. Wir entwickeln und betreiben gemeinsam mit unseren Kunden Kommunikationsplattformen, die Servicekontakte im Unternehmen produktiver machen.",1,0,0,0
82,soft,"Selbstständige Arbeitsweise mit hoher Einsatzbereitschaft, Flexibilität und Belastbarkeit.",0,1,0,1
83,soft,"Eigeninitiative, hohe Zielorientierung und sehr selbstständige Arbeitsweise.",0,1,0,1
84,tech,Fundierte IT-Management-Kenntnisse,0,0,1,2
85,tech,Fundierte Kenntnisse im Bereich Konstruktion und mechanischer Auslegung.,0,0,1,2
86,tech,sehr gute Kenntnisse im Bereich der Fahrzeugelektronik,0,0,1,2
87,none,Kontakt Ich bin für Sie da und begleite Sie auf Ihrem Weg zum neuen Job.Charles-André Martin Tel.: +49 30 8353-85995 E-Mail: charles-andre.martin@telekom.de Schwerbehinderte Bewerber werden bei gleicher Eignung vorrangig berücksichtigt.Barrierefrei bewerben Richtig bewerben Work-life erleben Ihre Entwicklung Unsere Leistungen Datenschutz Wir freuen uns auf Ihre Bewerbung!,1,0,0,0
88,none,Bauleiter Systeminfrastruktur,1,0,0,0
89,none,Werden Sie ein Teil von uns!,1,0,0,0
90,none,Richten Sie Ihre Bewerbung an: Haus St. Barbara Susanne Maringer Oberdorf 27 66780 Rehlingen-Fremersdorf,1,0,0,0
91,none,Euro und seinen weltweit über 5.000 Mitarbeitern ist das Unternehmen sehr erfolgreich und mit mehr als 80 Tochtergesellschaften auf allen Kontinenten aktiv.,1,0,0,0
92,none,Musterkoordination (ca. 75% des Zeitanteils).,1,0,0,0
93,tech,Affinität zur EDV,0,0,1,2
94,soft,Kunden- und Serviceorientierung,0,1,0,1
95,tech,Fundierte Kenntnisse im Bereich der Kryptografie.,0,0,1,2
96,soft,"Selbstständige Arbeitsweise, Organisationstalent und Kommunikationsfähigkeit.",0,1,0,1
97,tech,Gute Systemkenntnisse im Bereich Bremsregelsysteme,0,0,1,2
98,none,"Wir freuen uns auf deine aussagekräftige Bewerbung mit Gehaltsangabe und Starttermin an: bewerbung@telemotive.de, Nicole Neves, +49 7335 18493-87 Bitte gib an, wie du auf unsere Stellenausschreibung aufmerksam wurdest. Schwerbehinderte Bewerberinnen und Bewerber werden bei gleicher Eignung besonders berücksichtigt. www.telemotive.de",1,0,0,0
99,soft,"Strukturierte, bereichsübergreifende bzw. prozessorientierte, selbstständige und eigenverantwortliche sowie ergebnisoriente Arbeitsweise.",0,1,0,1
100,none,Standort Wittker + Wittmann GmbH,1,0,0,0
101,tech,(Grund-)Kenntnisse der fachlichen Provisionsprozesse und relevanten Geschäftsvorfälle,0,0,1,2
102,soft,Hohe Verhandlungssicherheit und Kommunikationsstärke.,0,1,0,1
103,tech,"Sehr gute Kenntnisse in den gesetzlichen Grundlagen (ELV, REACH sowie WEEE, RoHS, Batteriegesetz ...)",0,0,1,2
104,none,Der schnellste Wegzu Ihrem neuen JobZum Bewerberportal,1,0,0,0
105,none,AboutDigitalDataCandidatesRecommend a FriendServicesDarwin RecruitmentDarwin Corporate SolutionsLooking to hire?NewsExpert ArticlesLatest NewsEventsContact Register Login,1,0,0,0
106,tech,Sicherer Umgang mit MS-Office-Produkten.,0,0,1,2
107,soft,Fähigkeiten zur Zusammenarbeit mit interdisziplinären Mitarbeitern,0,1,0,1
108,soft,"Sie haben Lust darauf, unsere Kunden telefonisch und elektronisch bei ihren Problemen zu beraten und gemeinsam in Ihrem Team akzeptierte Lösungen zu erarbeiten. Dabei zeigen Sie eine ausgeprägte Serviceorientierung.",0,1,0,1
109,soft,"Ausgezeichnete Problemlösungskompetenz, strukturierte und analytische Eigeninitative, begeisterungsfähigkeit, Flexibilität und Fähigkeit zu selbstständigem und eigenverantwortlichem Arbeiten.",0,1,0,1
110,tech,"Spaß und Kompetenz in der Konzeptentwicklung, der Strukturierung von Prozessen und der Verschriftlichung von Texten haben",0,0,1,2
111,tech,"Gute Kenntnisse in Virtualisierungslösungen (vmware, ESXi).",0,0,1,2
112,tech,"Sehr gutes Know-how im Bereich von Kapitalanlagen und deren Verwaltung, Darlehens- oder Leasing Management, Sicherheitenmanagement, Backofficeerfahrung, Grundverständnis Front-Office",0,0,1,2
113,soft,gute Englischkenntnisse in Wort und Schrift,0,1,0,1
114,tech,Kenntnisse in SAP R/3 Kenntnisse sowie der CAD Software wünschenswert.,0,0,1,2
115,tech,Fundierte Kenntnisse des MS-Office-Paketes sowie in SAP R/3 IS-U,0,0,1,2
116,none,Die Stelle ist in Vollzeit und unbefristet zu besetzen.,1,0,0,0
117,none,Wir freuen uns auf Ihre Bewerbung ! Bewerbungen von Schwerbehinderten und Gleichgestellten werden bevorzugt berücksichtigt.,1,0,0,0
118,none,"Kontakt Wir bieten Ihnen: Einen unbefristeten Arbeitsvertrag Ein attraktives Gehaltspaket mit übertariflichen Leistungen wie vermögenswirksame Leistungen, betriebliche Altersvorsorge sowie Prämienzahlungen, z. B. Mitarbeiter werben Mitarbeiter Flexible Arbeitszeiten sowie Gleitzeitkonto Gezielte Mitarbeiterförderung durch unsere ABLEacademy: fachliche Weiterbildung und Entwicklung der persönlichen Fähigkeiten Vielfältige Corporate Benefits: Gesundheitsförderung, Einkaufsvergünstigungen, Sportangebote und Mitarbeiterevents Wir freuen uns auf Ihre aussagekräftige Bewerbung unter Angabe Ihres frühestmöglichen Eintrittstermins, Ihrer Gehaltsvorstellung sowie der Kennziffer STE43-95241-PK, bevorzugt als Onlinebewerbung oder per E-Mail an personal@plant-ing.de plantIng GmbH Köln 50999 Köln Frau Francis Bendel +49 2236 4907-142 +49 2236 4907-199 personal@plant-ing.de",1,0,0,0
119,tech,Sehr gute Kenntnisse im Design webbasierter Individuallösungen (z.B. JEE) und dem Einsatz von Standardtechnologien.,0,0,1,2
120,tech,"Sie verfügen über gute Kenntnisse in der Programmierung mit C/C++, im Requirements Engineering und von gängigen Mikroprozessoren.",0,0,1,2
121,none,Z. Hd.,1,0,0,0
122,soft,Sicheres Beherrschen der deutschen Sprache in Wort und Schrift sowie gute Englischkenntnisse runden Ihr Profil ab.,0,1,0,1
123,soft,"Strukturiertes, zielorientiertes Arbeiten und hoher Qualitätsanspruch.",0,1,0,1
124,soft,Sicheres Auftreten vor dem Kunden und im Team,0,1,0,1
125,none,Sie haben Fragen? Sprechen Sie mit Thomas Gubser +41 58 285 72 62,1,0,0,0
126,soft,Flexibilität und Teamfähigkeit,0,1,0,1
127,soft,Verhandlungssicher in Englisch und möglicherweise fließend in einer weiteren Fremdsprache.,0,1,0,1
128,tech,"Kenntnisse in SAP SD/FI sowie MS Office, insbesondere Excel.",0,0,1,2
129,soft,ausgeprägter Sinn für Qualität,0,1,0,1
130,none,Angestellte und Beamte Ausbildungsplätze und Praktika Informationen zu Stellenangeboten Informationen zu Studiengängen Suchtipps für Stellenangebote,1,0,0,0
131,soft,"Sie besitzen ein hohes Maß an Sorgfalt, Zuverlässigkeit, Einsatzbereitschaft und Engagement",0,1,0,1
132,tech,"Gute Kenntnisse von Industriestandards wie z.B. Frameworxs, ITIL sowie aktueller IT-Trends",0,0,1,2
133,tech,unsere gemeinsamen Ziele konsequent verfolgen,0,0,1,2
134,soft,"Schnelles Auffassungsvermögen, Teamgeist, starke Dienstleistungsorientierung und entsprechende Belastbarkeit.",0,1,0,1
135,soft,Führerscheine: B (alt: FS3),0,1,0,1
136,tech,Kenntnisse im nationalen sowie internationalen Endbenutzersupport und Tickettool.,0,0,1,2
137,tech,"Bereitschaft, sich kontinuierlich in neue Aufgabenstellungen einzuarbeiten",0,0,1,2
138,soft,Freude am Umgang mit Menschen sowie an Teamarbeit,0,1,0,1
139,soft,Serviceorientiertes Denken und Handeln.,0,1,0,1
140,tech,Idealerweise kennen Sie sich mit SPS oder der LAMTEC-Steuerung aus.,0,0,1,2
141,soft,Gutes Durchsetzungsvermögen und hohe Eigenmotivation.,0,1,0,1
142,none,Die Stelle ist in Vollzeit und unbefristet zu besetzen.,1,0,0,0
143,tech,"Sie bringen idealerweise Kenntnisse in den Programmen Jobrouter, DocuWare und Amadeus mit.",0,0,1,2
144,tech,Fundierte Kenntnisse in der Rechnungslegung nach HGB.,0,0,1,2
145,soft,"Kreativität, Kommunikations- und Präsentationsfähigkeiten",0,1,0,1
146,none,Hauptmenu,1,0,0,0
147,soft,Sicheres Auftreten und Präsentieren vor Gruppen.,0,1,0,1
148,soft,"Strukturierte Arbeitsweise, Teamfähigkeit, Integrität und Eigeninitiative.",0,1,0,1
149,none,Cs2 ITEC GmbH & Co. KG Anton-Bruckner-Straße 2a 91052 Erlangen Tel: +49 9131 / 88 06 - 0 Fax: +49 9131 / 88 06 - 50 Mail: info@cs2-itec.de,1,0,0,0
150,soft,"Eine lösungs- und teamorientierte, zielsichere und methodische Arbeitsweise",0,1,0,1
151,tech,"Rechtliche, vertragliche und kommerzielle Grundlagen der Reklamationsdurchführung.",0,0,1,2
152,tech,Sehr gute MS Office- sowie gute SAP CO- bzw. PS-Kenntnisse.,0,0,1,2
153,tech,Idealerweise kommen Sie aus dem Bereich der embedded Softwareentwicklung für Steuergeräte.,0,0,1,2
154,tech,"Grundlagen in den Bereichen Hochvolt, Ladetechnik",0,0,1,2
155,soft,Sehr gute Kenntnisse der deutschen und gute Kenntnisse der englischen Sprache bringen Sie mit.,0,1,0,1
156,none,Ihren bisherigen Tätigkeitsschwerpunkt (Wo liegen Ihre fachlichen Stärken?),1,0,0,0
157,tech,Sie arbeiten sich auf Basis Ihres technischen Verständnisses weitestgehend selbstständig in die relevanten Themengebiete ein und entwickeln Ihr Wissen und Ihre Fähigkeiten weiter.,0,0,1,2
158,soft,Affinität zu Zahlen,0,1,0,1
159,tech,Gute Kenntnisse im Bereich MS-Office,0,0,1,2
160,soft,Hohe Eigeninitiative in der Durchführung prozessoptimierender Maßnahmen.,0,1,0,1
161,none,Stellenangebot 1 von 7,1,0,0,0
162,none,Stellenangebot 2 von 5,1,0,0,0
163,none,Leistungen für Bewerber Beratung und Vermittlung Mehr erfahren,1,0,0,0
164,none,Unternavigationspunkte,1,0,0,0
165,tech,"Kenntnisse der Betriebssysteme Windows, Linux, Unix und der Office Applikationen.",0,0,1,2
166,soft,"Sie besitzen ein hohes Maß an Sorgfalt, Zuverlässigkeit, Einsatzbereitschaft und Engagement.",0,1,0,1
167,soft,Ausgezeichnete Deutschkenntnisse in Wort und Schrift setzen wir voraus.,0,1,0,1
168,tech,"Microsoft Zertifizierungen MCTS, MCTS, MCSA, LPIC",0,0,1,2
169,soft,Hohe Kommunikationskompetenz auch auf internationaler Ebene.,0,1,0,1
170,none,Referent (m/w) Banksteuerung,1,0,0,0
171,soft,"Kontaktfreude, Sorgfalt und eine strukturierte Arbeitsweise.",0,1,0,1
172,soft,Sie bringen eine außerordentliche hohe Reisebereitschaft sowie eine Umzugsbereitschaft in die USA mit.,0,1,0,1
173,soft,"Belastbarkeit, überdurchschnittliche Leistungsbereitschaft und soziale Kompetenz.",0,1,0,1
174,none,Available jobs Currently 890 available jobs Follow us Facebook Twitter LinkedIn Google Plus,1,0,0,0
175,tech,sich in der Automobilindustrie gut auskennen.,0,0,1,2
176,none,ALEXA 6565 mm reborn. The new large-format system.,1,0,0,0
177,soft,Deutsch und Englisch,0,1,0,1
178,none,"For immediate commencement of employment, the Systems Engineering Department at OHB System in Oberpfaffenhofen (approx. 30 km west of Munich) is looking for an.",1,0,0,0
179,soft,Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift runden Ihr Profil ab.,0,1,0,1
180,none,In der Wohngruppe Wilhelmine-Hundert-Weg und der Wohngruppe Stellbrinkweg.,1,0,0,0
181,tech,SAP Kenntnisse,0,0,1,2
182,soft,Sie sind sicher in deutscher Rechtschreibung,0,1,0,1
183,tech,"Zu Ihren Stärken gehört ein sicherer Umgang mit den MS-Office-Systemen, Kenntnisse in Navision sind wünschenswert",0,0,1,2
184,soft,"Teamfähigkeit, Kommunikations-, Kooperations- und Organisationsgeschick.",0,1,0,1
185,soft,Hohe Kundenorientierung und Interkulturelle Kompetenz,0,1,0,1
186,tech,"Sehr gute Kenntnisse in den Bereichen Qualitätssicherung, Arbeitsablaufgestaltung und Arbeitssicherheit.",0,0,1,2
187,soft,"Hohes Maß an Eigeninitiative, Gestaltungswillen und Begeisterungsfähigkeit.",0,1,0,1
188,tech,Sehr gutes technisches Verständnis,0,0,1,2
189,none,Ausschreibungen Vergebene Aufträge Informationen zu Ausschreibungen Suchtipps für Ausschreibungen,1,0,0,0
190,tech,Prozessuales Grundverständnis für E-Commerce-Technologien,0,0,1,2
191,soft,Durchsetzungsvermögen im internationalen Team,0,1,0,1
192,none,Für unseren Kundenservice suchen wir zum nächstmöglichen Zeitpunkt einen.,1,0,0,0
193,tech,Sicherer Umgang mit den gängigen MS-Office Anwendungen,0,0,1,2
194,tech,Sie haben gute bis sehr gute Kenntnisse in Microsoft Office und im Windows-Umfeld.,0,0,1,2
195,soft,Sie haben Spaß am Kundenkontakt,0,1,0,1
196,tech,ITIL Kenntnisse.,0,0,1,2
197,soft,Durchsetzungsfähigkeit und gute Fähigkeiten im Konfliktmanagement.,0,1,0,1
198,none,Available jobs Currently 874 available jobs Follow us Facebook Twitter LinkedIn Google Plus,1,0,0,0
199,soft,"Gutes und aktives Kommunikationsverhalten, insbesondere hervorragende Fähigkeit zu einer professionellen Gesprächsführung am Telefon",0,1,0,1
200,tech,Gute bis sehr gute MS-Office-Kenntnisse.,0,0,1,2
201,soft,"Organisationsstark, ideenreich, teamfähig, zuverlässig und flexibel",0,1,0,1
202,tech,Branchenkenntnisse wünschenswert.,0,0,1,2
203,soft,Freude am Verkauf.,0,1,0,1
204,soft,"gute Fremdsprachenkenntnisse (Englisch, gern auch weitere Sprachkenntnisse, wie Arabisch, Kurdisch etc.)",0,1,0,1
205,soft,Eigenständige Arbeitsweise und Flexibilität,0,1,0,1
206,soft,Überzeugendes Auftreten bei Gesprächspartnern aller Hierarchieebenen.,0,1,0,1
207,none,"Standort WAGO Kontakttechnik GmbH & Co. KG Waldstr. 1, 99706 Sondershausen, Deutschland",1,0,0,0
208,tech,"Fundierte Kenntnisse in Netzwerktechniken und -topologien (LAN,WAN) sowie in gängigen Netzwerkprotokollen (z.B. TCP/IP, DNS, DHCP)",0,0,1,2
209,soft,Hohe Teamfähigkeit sowie eine gute Kommunikations- und Moderationsfähigkeit,0,1,0,1
210,soft,Spaß an Teamarbeit und Eigeninitiative,0,1,0,1
211,soft,Freundliches und kundenorientiertes Auftreten,0,1,0,1
212,tech,"Gute Kenntnisse in mindestens einer Programmiersprache (MySQL, Vertica, VBA o. Ä.).",0,0,1,2
213,soft,Gute englische Sprachkenntnisse in Wort und Schrift runden Ihr Profil ab.,0,1,0,1
214,soft,Sie sind zu häufigen Dienstreisen bereit,0,1,0,1
215,none,"Standort TA Triumph-Adler GmbH Ohechaussee 235, 22848 Norderstedt, Deutschland",1,0,0,0
216,soft,Bereitschaft zur flexiblen Arbeitszeit.,0,1,0,1
217,none,Marketing Mitarbeiter (m/w),1,0,0,0
218,soft,Belastbarkeit und Flexibilität,0,1,0,1
219,none,Emissionsprospekt Kursinformationen Debt Issuance Programm,1,0,0,0
220,soft,Lösungsorientiertes Denken.,0,1,0,1
221,soft,Verantwortungsbewusstsein sowie eine strukturierte Arbeitsweise,0,1,0,1
222,none,"Wir freuen uns auf Ihre Bewerbung! Hat diese Aufgabe Ihr Interesse geweckt? Dann senden Sie uns bitte Ihre aussagekräftige Online-Bewerbung mit Angabe Ihrer Entgeltvorstellung und des möglichen Eintrittstermins. Melitta Europa GmbH & Co. KG - Geschäftsbereich Kaffee - Human Resources Dortmunder Straße 1, 28199 Bremen Christiane Poggel Bewerben",1,0,0,0
223,soft,Ausgeprägtes Qualitätsbewusstsein.,0,1,0,1
224,none,IT Service Manager (Prozessentwicklung) (m/w),1,0,0,0
225,soft,"Wertschätzender und respektvoller Umgang mit Patienten, deren Angehörigen und Mitarbeitern.",0,1,0,1
226,none,In der Abteilung „Infrastruktur und Netze“ (IT/IN) des Bereiches „Informationstechnologie“ ist demnächst die Stelle der.,1,0,0,0
227,tech,"Fundierte Kenntnisse in der Kraftfahrzeugtechnik, insbesondere von Kraftomnibussen",0,0,1,2
228,soft,"Sicheres Auftreten, Kommunikationsstärke sowie Überzeugungs- und Abschlussfähigkeit",0,1,0,1
229,none,"KONSTRUKTEUR - Maschinenbau (m/w) Vollzeit Remchinger Str. 5, 75203 Königsbach-Stein, Deutschland Mit Berufserfahrung 01.06.16",1,0,0,0
230,soft,"Durchsetzungsvermögen, Teamgeist, hohe Eigenmotivation.",0,1,0,1
231,none,erfahrener Versicherungsmathematiker (m/w),1,0,0,0
232,tech,Fundierte Fachkenntnisse mit Techniken der Mikroskopie.,0,0,1,2
233,soft,"gute Umgangsformen, ein verbindliches, freundliches Auftreten sowie Einsatzbereitschaft und (zeitliche) Flexibilität",0,1,0,1
234,soft,Eine ausgeprägte Teamfähigkeit rundet Ihr Profil ab.,0,1,0,1
235,soft,Ausgeprägte Dienstleistungsbereitschaft,0,1,0,1
236,soft,"Ordnung, Sauberkeit und Hygiene am Arbeitsplatz",0,1,0,1
237,none,"Struktur Erneuerbare, Netze und Gasspeicher Vertrieb, Dienstleistungen und Handel Ausland swb Konzernzentralbereich Unternehmensleitung Regionen Strategie Compliance Geschichte",1,0,0,0
238,soft,Gute Englischkenntnisse in Wort und Schrift runden Ihr Profil ab.,0,1,0,1
239,soft,"Teamfähigkeit, hohe Eigenmotivation, ausgeprägte Kommunikationsfähigkeit und analytisches Denkvermögen.",0,1,0,1
240,soft,Bereitschaft zu versetzten Arbeitszeiten.,0,1,0,1
241,none,Consultant (m/w) Bereich Citrix,1,0,0,0
242,none,"Für das Strategische Geschäftsfeld Umwelt, Bereich Luftreinhaltung.",1,0,0,0
243,soft,"Flexibilität, Leistungsbereitschaft und Qualitätsbewusstsein",0,1,0,1
244,tech,Routine und sicherer Umgang in der Korrespondenzbearbeitung.,0,0,1,2
245,soft,Englisch in Wort und Schrift,0,1,0,1
